,link,most_freq_positioning
588,amur river,top
589,an imitation,center-top
590,ana,bottom
591,anaconda,top
592,anaemia,center
593,anakin,top
594,anakin skywalker,top
595,analysis,center
596,analytical,top
597,analytical marxism,bottom
598,analytical marxist,center-bottom
599,anarchism,top
600,anarchist,bottom
601,anarchists,bottom
602,anarcho-capitalism,bottom
603,anarcho-capitalists,center-top
604,anarchy,top
605,anatomic,center
606,anatomical,top
607,anatomically,top
608,anatomist,center
609,anatomists,bottom
610,anatomy,center-bottom
611,ancestry,top
612,ancient,center-top
613,ancient (pharaonic) egypt,center-top
614,ancient athens,top
615,ancient civilization,top
616,ancient egypt,top
617,ancient egyptian,center
618,ancient egyptians,top
619,ancient greece,top
620,ancient greek,top
621,ancient greeks,top
622,ancient greeks',top
623,ancient history,center
624,ancient indus valley,center-top
625,ancient latin,center-bottom
626,ancient maya,top
627,ancient roman,top
628,ancient romans,top
629,ancient rome,top
630,ancient times,center-top
631,andean,top
632,andean heights,center-top
633,andes,top
634,andorra,bottom
635,andrew,center
636,andrew carnegie,center-bottom
637,andrew dickson white,top
638,andrew jackson,bottom
639,andrew johnson,center-bottom
640,andrew robinson,bottom
641,andriyivskyy descent,center-bottom
642,andromeda,top
643,andromeda galaxy,center-top
644,andromeda nebula,top
645,andropogon sorghum,center
646,andrés nocioni,center-top
647,andy warhol,center-top
648,angelica,top
649,angkor,center-top
650,angkor wat,top
651,anglers,center-bottom
652,anglican,top
653,anglican church,top
654,anglican church of australia,center
655,anglican churches,top
656,anglican communion,top
657,anglicanism,top
658,anglicans,center-top
659,anglo,top
660,anglo-boer war,center-top
661,anglo-boer wars,top
662,anglo-saxon,top
663,anglo-saxon invasions,center-top
664,anglo-saxon language,top
665,anglo-saxon literature,center-bottom
666,anglo-saxon period,top
667,anglo-saxon poets,top
668,anglophone,top
669,angola,bottom
670,angola child sponsorship,center-bottom
671,angolan,center-top
672,anguilla,top
673,animal,top
674,animal kingdom,top
675,animal law,top
676,animal rights,center-bottom
677,animal rights groups,center-bottom
678,animal-rights groups,center-top
679,animalia,center
680,animals,top
681,animated,center
682,animation,top
683,animations,top
684,animators,center
685,ankylosaurs,top
686,ankylosaurus,bottom
687,ann arbor,bottom
688,"ann arbor, michigan",center
689,anna karenina,top
690,anne,center-top
691,anne frank,bottom
692,anne of great britain,top
693,anno domini,top
694,annual review of accounts for 2005,top
695,anointed one,top
696,another earthquake,center-top
697,another iraq,center
698,anoxic,bottom
699,anschluss,top
700,anschluß,top
701,ant,center-top
702,antananarivo,center-top
703,antarctic,top
704,antarctic krill,center-bottom
705,antarctic treaty,top
706,antarctic treaty system,top
707,antarctica,top
708,ante,center
709,anteater,center-top
710,anteaters,top
711,antelope,center-top
712,antelopes,center-top
713,anthony van dyck,bottom
714,anthropological,top
715,anthropologist,center
716,anthropologists,top
717,anthropology,top
718,anti-religious bias,center-bottom
719,antibacterial,center-bottom
720,antidiscrimination,center
721,antigua,center
722,antigua and barbuda,bottom
723,antillean,center-bottom
724,antimalarial,top
725,antimonide,center-top
726,antimony,center
727,antioch,top
728,antiquities,top
729,antiquity,top
730,antoine laurent lavoisier,center
731,antoine lavoisier,top
732,antonio vivaldi,center
733,antonín dvořák,center-bottom
734,ants,top
735,antwerp,center-bottom
736,apartheid,center-top
737,apartheid era in south africa,top
738,apartheid regime of south africa,center-top
739,apartheid south africa,center-top
740,apatosaurus,bottom
741,ape,top
742,apes,top
743,aphid,bottom
744,aphids,top
745,apiculture,bottom
746,apollo,center
747,apollo 11,center-bottom
748,apollo 8,center-top
749,apollo moon landings,center-bottom
750,apoplectic stroke,center-bottom
751,apostolic succession,top
752,apple,center-top
753,apple cider,center
754,apple ipod,center-top
755,apple macintosh,center-bottom
756,apples,center
757,applied mathematics,top
758,applied statistics,top
759,apricot,center
760,apricots,bottom
761,aquaria,top
762,aquarium,bottom
763,aquariums,center-bottom
764,aqueous,center-top
765,ar,center-bottom
766,ar:,bottom
767,arab league,top
768,arab oil embargo,bottom
769,arab summit,bottom
770,arab-israeli,center-bottom
771,arab-israeli conflict,bottom
772,arab-israeli conflicts,top
773,arab-israeli war,center-bottom
774,arab.,top
775,arabian,center-bottom
776,arabic,top
777,arabic language,top
778,arabic languages,center-top
779,arabic-language,top
780,arable,center-top
781,arable farming,center
782,arable land,center
783,arabs,top
784,arachis hypogaea,center
785,aral,center-top
786,aral sea,center
787,aral seas,center
788,arboreal frogs,center-top
789,arcadia,bottom
790,archaeoastronomy,center-top
791,archaeological,top
792,archaeological research,bottom
793,archaeologist,top
794,archaeologists,top
795,archaeology,top
796,archaeopteryx,center-bottom
797,archaeopteryx lithographica,top
798,archbishop,top
799,archbishop of canterbury,top
800,archbishops,top
801,archbishops of canterbury,top
802,archeologists,bottom
803,archimedes,top
804,archimedes of syracuse,center-top
805,architect,top
806,architects,top
807,architectural,top
808,architectural design,center
809,architecturally,center
810,architecture,top
811,arctic,top
812,arctic circle,top
813,arctic monkeys,bottom
814,arctic ocean,top
815,arctic oceans,center
816,arctic tern,center
817,ardennes offensive,bottom
818,areas of leicester,top
819,arecaceae,top
820,arena,center
821,argentina,top
822,argentina child sponsorship,center-bottom
823,argentine,top
824,argentine-born,top
825,argentinean,center
826,argentineans,center-top
827,argentines,bottom
828,argentinian,center
829,argentinian people,center
830,argon,center-bottom
831,argyle diamond mine,center-top
832,arid,top
833,ariel sharon,center
834,aristarchus,center
835,aristotelian,center
836,aristotle,top
837,aristotle's,top
838,arithmetic,top
839,arithmetical,top
840,arithmetical system,bottom
841,arm,top
842,armadillo,center
843,armadillos,center-bottom
844,armed conflict,top
845,armenia,bottom
846,armenia child sponsorship,center
847,armenian,top
848,armenians,center
849,armia krajowa,center
850,arms,bottom
851,army operating against the turks,top
852,arnold schwarzenegger,center-bottom
853,around the world - stop press,center
854,ars moriendi,center-bottom
855,arsenal,top
856,arsenal f.c.,center-top
857,arsenic,center
858,arsenic poisoning,center-bottom
859,art,top
860,art theory,top
861,arthropod,center
862,arthropoda,top
863,arthropodic,top
864,arthropods,center
865,arthur percival,center-top
866,arthur sullivan,bottom
867,arthur wellesley,top
868,"arthur wellesley, 1st duke of wellington",center-top
869,arthurian,top
870,arthurian legend,center-top
871,artificial contraception,bottom
872,artist,center
873,artistic,top
874,arts,top
875,arts & humanities,top
876,arts and crafts,bottom
877,aruba,top
878,aruban,center-bottom
879,arugula,center-top
880,ascariasis,center-top
881,ascii,bottom
882,ascorbate,top
883,ashes,top
884,asia,top
885,asian,top
886,asian child sponsorship,center
887,asian continent,top
888,asians,center
889,asiatic,top
890,asparagus,top
891,asperger syndrome,bottom
892,asps,center
893,assassinated,top
894,assassination of john f. kennedy,bottom
895,assassination of president kennedy,center
896,assault on the coast of normandy,top
897,assault on warsaw,center-bottom
898,association,center
899,association football,bottom
900,assyria,top
901,assyrian,top
902,astatine,top
903,asteroid,center-top
904,asteroids,bottom
905,asthma,top
906,asthmatic,top
907,asthmatics,bottom
908,astrologer,top
909,astrological,top
910,astrologically,center
911,astrology,bottom
912,astronomer,top
913,astronomers,top
914,astronomical,top
915,astronomical events,top
916,astronomically,top
917,astronomies,top
918,astronomy,top
919,asunción,top
920,asymmetric,center
921,at&t,bottom
922,atari pong,center-top
923,ateneo de manila university,center-top
924,athanasius kircher,bottom
925,atheism,center-bottom
926,atheist,top
927,atheistic,bottom
928,atheists,center
929,athena,top
930,athenian,top
931,athenians,top
932,athens,top
933,athlete,top
934,athletic,top
935,athletics,bottom
936,atlanta,center-bottom
937,"atlanta, georgia",center-bottom
938,atlantean,center-top
939,atlantic,top
940,atlantic basin,top
941,atlantic coast line railroad,center-bottom
942,atlantic ocean,top
943,atlantic ocean basin,center
944,atlantic slave trade,center
945,atlantic waters,bottom
946,atlantis,top
947,atm,bottom
948,atm cards,top
949,atmosphere,top
950,atmospheric,top
951,atmospheric composition,center
952,atom,top
953,atomic,top
954,atomic bomb,top
955,atomic bombs,center-bottom
956,atomic element,center-top
957,atomic elements,top
958,atomic oxygen,center
959,atomic structure,center-top
960,atomic super-weapon,center-bottom
961,atoms,top
962,atonality,top
963,atp,center
964,atrocities,top
965,attack on pearl harbour,top
966,attacked pearl harbour,center-top
967,attacked the american base at pearl harbour,top
968,attacked the u.s. fleet at pearl harbour,center-bottom
969,attacked the united states naval base,center-top
970,attacks,center
971,"attacks of september 11, 2001",bottom
972,attacks on the world trade centre,center
973,attalus i,top
974,attention-deficit hyperactivity disorder,top
975,attila,top
976,attila the hun,center-top
977,au,top
978,auckland,center-top
979,audio,center
980,augustae,center-top
981,augustan,bottom
982,augustan period,center-top
983,auguste rodin,bottom
984,augustine,top
985,augustine of hippo,center-bottom
986,augustine's,bottom
987,augustinian,center
988,augustus,top
989,austerlitz,center
990,australia,top
991,australia's,top
992,australian,top
993,australian english,bottom
994,australian fauna,bottom
995,australian open,center
996,australian open tennis championship,center-bottom
997,australian rules football,center-bottom
998,australian-born,center-bottom
999,australians,center-bottom
1000,austria,bottom
1001,austria's,center-top
1002,austrian,top
1003,austrians,top
1004,austro,top
1005,authoritarian,center
1006,autism,center-bottom
1007,autistic,center
1008,autistic disorder,center-bottom
1009,auto racing,bottom
1010,autocracies,center-top
1011,autocracy,top
1012,autocrat,center-top
1013,autocratic,center-top
1014,autocratic rule,center
1015,automated teller machine,center-bottom
1016,automobile,top
1017,automobiles,top
1018,automotive,top
1019,autoracks,bottom
1020,autumn,top
1021,autumns,top
1022,avacha volcano,top
1023,avalanche,center-top
1024,avalanches,bottom
1025,avatar: the last airbender,center-top
1026,aves,bottom
1027,avian,top
1028,avocado,center
1029,avocados,bottom
1030,avoiding intercourse,center-bottom
1031,avon gorge,top
1032,avro lancaster,top
1033,axe,top
1034,axes,center-top
1035,axiomatic proof,top
1036,axioms of euclid,center-top
1037,ayaan hirsi ali,center-bottom
1038,aymer of valence,center-top
1039,azerbaijan,bottom
1040,azerbaijan child sponsorship,center
1041,azerbaijani,center
1042,azerbaijani people,center-bottom
1043,azerbaijanis,center-top
1044,azeri,bottom
1045,azeris,top
1046,aztec,top
1047,aztec people,center-top
1048,aztecs,top
1049,b,center
1050,b vitamins,bottom
1051,b.c.,top
1052,ba2+,center-top
1053,babbage,top
1054,babe ruth,top
1055,baboon,top
1056,baboons,center-top
1057,babur,top
1058,baby grand piano,center
1059,babylonia,top
1060,babylonian,center-top
1061,babylonian empire,top
1062,babylonians,top
1063,bach,center
1064,back to autumn 2006 newsletter contents,center-bottom
1065,back to kashmir earthquake news,center
1066,"back to main ""6 villages for 2006"" page",center-bottom
1067,back to main fundraising page,bottom
1068,back to news article on sister leonella,center-bottom
1069,back to sos world cup news,center-bottom
1070,back to summer 2006 newsletter contents,center-bottom
1071,back to the charity challenge page,bottom
1072,back to the middle east crisis news page,center-bottom
1073,back to the middle east news page,center-bottom
1074,backgammon,top
1075,baconian idols,center
1076,bacteria,top
1077,bacterial,center-bottom
1078,bacterium,top
1079,baden-powell,bottom
1080,badger,top
1081,badgers,center
1082,badminton,bottom
1083,badr,center-top
1084,bae systems,top
1085,baghdad,top
1086,baghdadi,center-top
1087,bahamas,top
1088,bahrain,bottom
1089,bahá'í,center-bottom
1090,bahá'í faith,bottom
1091,bahá'ís,center-bottom
1092,baird televisor,top
1093,baker island,center-top
1094,baker's yeast,top
1095,bald,bottom
1096,bald eagle,center-bottom
1097,baldwin,bottom
1098,baltic,center
1099,baltic coast,top
1100,baltic sea,top
1101,baltimore,top
1102,"baltimore, maryland",top
1103,banana,center-bottom
1104,bananas,center
1105,banaras,center
1106,bandicoot,center-top
1107,bandicoots,center-top
1108,bangalore,center-bottom
1109,bangkok,center-top
1110,bangladesh,bottom
1111,bangladesh child sponsorship,center-bottom
1112,bangladeshi,center-top
1113,bangladeshis,center-bottom
1114,banjul,top
1115,banknote,center-bottom
1116,banknotes,top
1117,banksy,center
1118,bantu,top
1119,bantu migrants,top
1120,bantus,center
1121,barack obama,bottom
1122,barbados,top
1123,barbara mcclintock,bottom
1124,barbary macaques,center-top
1125,barcelona,center-bottom
1126,barium,top
1127,barley,center-bottom
1128,barn owl,top
1129,barnacle,bottom
1130,barnacles,center-top
1131,baroque,top
1132,baroque period,center-bottom
1133,barracudas,center-bottom
1134,bart,center-bottom
1135,baruch (benedictus de) spinoza,center-top
1136,baruch spinoza,center
1137,baseball,bottom
1138,basel,top
1139,basil,center-top
1140,basilica of saint francis,center-bottom
1141,basketball,bottom
1142,basketball's,center
1143,basking shark,center
1144,basking sharks,center-top
1145,bass,top
1146,basses,center-top
1147,bassoon,center
1148,bassoons,center
1149,bat,center-top
1150,batavia,top
1151,bath,center-top
1152,bath school disaster,top
1153,"bath, somerset",bottom
1154,batholith,center
1155,batholiths,center
1156,batman,bottom
1157,bats,top
1158,battle,center-bottom
1159,battle of alesia,center-top
1160,battle of amiens,center-bottom
1161,battle of austerlitz,bottom
1162,battle of badr,center-top
1163,battle of bicocca,center-top
1164,battle of britain,center-bottom
1165,battle of cannae,center
1166,battle of france,top
1167,battle of gettysburg,top
1168,battle of grunwald,center-bottom
1169,battle of guadalcanal,center-bottom
1170,battle of hastings,center-top
1171,battle of jutland,center-top
1172,battle of lechaeum,center
1173,battle of leyte gulf,center-bottom
1174,battle of marathon,top
1175,battle of midway,center-bottom
1176,battle of moscow,top
1177,battle of normandy,bottom
1178,battle of sitka,center-top
1179,battle of stalingrad,top
1180,battle of tannenberg,center
1181,battle of the bulge,center-bottom
1182,battle of the eastern solomons,top
1183,battle of the little bighorn,center-top
1184,battle of the santa cruz islands,bottom
1185,battle of the somme,center-top
1186,battle of the somme (1916),center
1187,battle of tours,center-top
1188,battle of vaslui,top
1189,battle of warsaw,top
1190,battle tank,center-top
1191,bay area rapid transit,bottom
1192,bay of bengal,top
1193,bbc,bottom
1194,bbc drama,top
1195,bc,top
1196,be,center-bottom
1197,beach,top
1198,beaches,top
1199,bean,top
1200,beans,center-bottom
1201,bear,top
1202,bear island,center
1203,bears,top
1204,beatle,bottom
1205,beatlemania,top
1206,beatles,bottom
1207,beatles for sale,center
1208,beaver,top
1209,beavers,top
1210,bec,center
1211,bec@soschildren.org,center-bottom
1212,became extinct,center-bottom
1213,beckett,bottom
1214,bedbugs,center
1215,bede,top
1216,bede's,center-bottom
1217,bede’s death song,center-bottom
1218,bee,top
1219,bee and ant,top
1220,beeching axe,bottom
