,link,#_clicks,most_freq_positioning
59,7th century,12.0,top
60,8th century,6.0,top
61,90377 sedna,4.0,center
62,9th century,14.0,top
63,a. e. j. collins,0.0,bottom
64,abo blood group system,0.0,top
65,ac dc,0.0,bottom
66,aids,43.0,top
67,ak-47,8.0,center-bottom
68,alco fa,1.0,bottom
69,ascii,21.0,bottom
70,at&t,10.0,bottom
71,atlas experiment,0.0,bottom
72,a christmas carol,2.0,center-top
73,a tale of a tub,5.0,center
74,a wrinkle in time,0.0,bottom
75,a cappella,3.0,top
76,aachen,0.0,top
77,aardvark,5.0,center
78,aarhus,1.0,center-top
79,abacá,0.0,bottom
80,abacus,14.0,top
81,abadan,3.0,bottom
82,abbadid,0.0,bottom
83,abbas i of persia,0.0,bottom
84,abbasid,6.0,top
85,abbey,6.0,top
86,abbey theatre,0.0,top
87,abbot,2.0,top
88,abel tasman,2.0,top
89,aberdeen,6.0,center-top
90,aberration of light,3.0,bottom
91,aberystwyth,5.0,bottom
92,abhidhamma pitaka,2.0,bottom
93,abidjan,1.0,center-bottom
94,abkhazia,3.0,center-top
95,able archer 83,2.0,top
96,abraham goldfaden,0.0,bottom
97,abraham lincoln,32.0,top
98,absinthe,7.0,center-bottom
99,absolute zero,10.0,top
100,abstract art,7.0,center
101,abu dhabi,5.0,top
102,abuja,2.0,top
103,acceleration,14.0,top
104,accountancy,5.0,center
105,accra,1.0,center-bottom
106,acetic acid,7.0,center-top
107,acetone,2.0,center
108,achilles,28.0,top
109,achilles tendon,16.0,bottom
110,acid rain,7.0,center-bottom
111,acorn computers,5.0,center-top
112,actinium,0.0,bottom
113,action potential,18.0,center
114,actor,87.0,top
115,acts of union 1707,9.0,top
116,actuary,0.0,bottom
117,adam smith,4.0,center-bottom
118,addis ababa,3.0,center
119,adelaide,4.0,top
120,adenosine triphosphate,7.0,top
121,adi shankara,0.0,bottom
122,adolf hitler,71.0,top
123,adriaen van der donck,0.0,bottom
124,advertising,33.0,top
125,aesthetics,19.0,top
126,afghan hound,4.0,bottom
127,afghanistan,24.0,bottom
128,africa,521.0,top
129,african american literature,3.0,bottom
130,african black oystercatcher,0.0,bottom
131,african brush-tailed porcupine,0.0,bottom
132,african buffalo,2.0,center-top
133,african darter,0.0,bottom
134,african great lakes,4.0,center-top
135,african grey hornbill,0.0,bottom
136,african grey parrot,2.0,center-bottom
137,african jacana,0.0,bottom
138,african penguin,3.0,top
139,african union,9.0,top
140,african wild dog,5.0,top
141,african clawed frog,3.0,bottom
142,african dwarf frog,2.0,center-top
143,african slave trade,5.0,top
144,afrikaans,13.0,center-top
145,agamemnon,5.0,top
146,age of enlightenment,26.0,top
147,aggregator,2.0,top
148,agnosticism,6.0,bottom
149,agriculture,353.0,center-bottom
150,airbus,4.0,center-top
151,airbus a380,5.0,center-bottom
152,aircraft,63.0,top
153,aircraft carrier,12.0,bottom
154,airship,23.0,center-top
155,ajax (programming),2.0,bottom
156,akbar,2.0,center-top
157,akhenaten,0.0,top
158,akira kurosawa,4.0,top
159,akkadian empire,2.0,top
160,akrotiri and dhekelia,1.0,bottom
161,aksumite currency,3.0,bottom
162,al jazeera,2.0,center-top
163,alamosaurus,0.0,bottom
164,alan turing,16.0,center-bottom
165,albania,8.0,bottom
166,albatross,12.0,center-bottom
167,albert einstein,67.0,bottom
168,alberto santos-dumont,4.0,center
169,albertosaurus,0.0,bottom
170,albigensian crusade,3.0,top
171,albinism,3.0,top
172,albrecht dürer,2.0,center-top
173,albrecht rodenbach,0.0,bottom
174,alchemy,36.0,top
175,alcibiades,5.0,center-top
176,alcohol,35.0,center-top
177,aleksandr pushkin,5.0,bottom
178,aleksandr vasilevsky,3.0,top
179,aleksey arakcheyev,0.0,bottom
180,alexander graham bell,5.0,top
181,alexander hamilton,4.0,top
182,alexander the great,41.0,top
183,alfred hitchcock,10.0,bottom
184,alfred nobel,8.0,center-bottom
185,alfred the great,10.0,center-top
186,algebra,11.0,top
187,algeria,15.0,bottom
188,algerian civil war,3.0,center-top
189,algiers,3.0,center
190,algol,2.0,top
191,algoma central railway,0.0,bottom
192,algorithm,26.0,top
193,alice's adventures in wonderland,8.0,bottom
194,all blacks,5.0,bottom
195,all you need is love (the jams song),0.0,bottom
196,all your base are belong to us,0.0,bottom
197,allah,9.0,bottom
198,allegory in the middle ages,7.0,bottom
199,alligator,10.0,bottom
200,alliterative verse,1.0,top
201,allosaurus,0.0,center-bottom
202,almaty,1.0,center
203,almond,4.0,center
204,alpaca,5.0,center-bottom
205,alphabet,21.0,top
206,alternating current,8.0,top
207,alternation of generations,1.0,top
208,alternative rock,12.0,bottom
209,aluminium,38.0,top
210,aluminium chloride,18.0,center
211,alzheimer's disease,12.0,top
212,amaranth oil,2.0,bottom
213,"amarillo, texas",2.0,center
214,amazon basin,12.0,top
215,amazon rainforest,16.0,top
216,amazon river,19.0,top
217,amazon parrot,4.0,bottom
218,amber,5.0,top
219,amda seyon i,0.0,bottom
220,american civil war,74.0,top
221,american english,54.0,top
222,american revolutionary war,39.0,top
223,american samoa,5.0,top
224,american football,61.0,bottom
225,american popular music,38.0,top
226,americium,4.0,top
227,amish,2.0,center-bottom
228,ammolite,2.0,bottom
229,ammonia,9.0,bottom
230,ammonite,3.0,bottom
231,ammosaurus,2.0,top
232,amsterdam,17.0,center
233,amtrak,41.0,bottom
234,amur,3.0,center
235,anaconda,8.0,top
236,analytical marxism,4.0,bottom
237,anarchism,14.0,top
238,anarcho-capitalism,6.0,bottom
239,anatomy,42.0,top
240,ancient egypt,179.0,top
241,ancient greece,158.0,top
242,ancient rome,116.0,top
243,ancient history,10.0,center-bottom
244,andes,5.0,top
245,andorra,5.0,bottom
246,andrés nocioni,2.0,center-top
247,andrew carnegie,12.0,center-bottom
248,andrew dickson white,2.0,top
249,andrew gonzalez,0.0,bottom
250,andrew jackson,4.0,bottom
251,andrew johnson,7.0,center-bottom
252,andrew robinson,2.0,bottom
253,andriyivskyy descent,0.0,center-bottom
254,andromeda galaxy,8.0,bottom
255,andy warhol,6.0,bottom
256,anemia,20.0,bottom
257,angel shark,4.0,bottom
258,angelica,1.0,top
259,angkor,2.0,bottom
260,angkor wat,4.0,center-top
261,anglican church of australia,3.0,center
262,anglican communion,5.0,top
263,anglicanism,10.0,top
264,anglo-saxon literature,0.0,center-bottom
265,angola,6.0,bottom
266,anguilla,3.0,bottom
267,animal,425.0,top
268,animal law,6.0,top
269,animal rights,20.0,center-bottom
270,animation,84.0,top
271,ankylosaurus,1.0,bottom
272,"ann arbor, michigan",3.0,bottom
273,anna karenina,2.0,top
274,anne frank,9.0,bottom
275,anne of great britain,9.0,top
276,annibale bugnini,0.0,bottom
277,anno domini,21.0,top
278,anschluss,4.0,top
279,ant,23.0,center-top
280,antananarivo,1.0,top
281,antarctic treaty system,4.0,center-bottom
282,antarctic krill,2.0,center-bottom
283,antarctica,34.0,top
284,antarctosaurus,0.0,bottom
285,anteater,3.0,top
286,antelope,12.0,center-top
287,anthony van dyck,0.0,bottom
288,anthropology,53.0,top
289,antigua and barbuda,3.0,bottom
290,antimony,3.0,center
291,antlion,2.0,bottom
292,antoine lavoisier,10.0,top
293,antonín dvořák,3.0,center-bottom
294,anton alexander von werner,0.0,bottom
295,antonio vivaldi,4.0,center
296,antwerp,4.0,center-bottom
297,apaochi,0.0,bottom
298,apatosaurus,6.0,bottom
299,ape,15.0,top
300,aphid,4.0,bottom
301,apollo,20.0,center
302,apollo 11,46.0,center-bottom
303,apollo 8,16.0,center-top
304,apostolic succession,7.0,top
305,apple,25.0,center-top
306,applied mathematics,9.0,top
307,apricot,4.0,center
308,aquarium,8.0,bottom
309,arab-israeli conflict,2.0,top
310,arab league,5.0,top
311,arabic language,50.0,center-top
312,arable land,5.0,center
313,"aradia, or the gospel of the witches",0.0,bottom
314,aral sea,3.0,center
315,arcadia (play),1.0,bottom
316,archaeoastronomy,1.0,center-bottom
317,archaeology,51.0,top
318,archaeopteryx,7.0,center-bottom
319,archbishop of canterbury,38.0,top
320,archimedes,11.0,top
321,architecture,33.0,top
322,architecture of windows nt,0.0,bottom
323,architecture of the california missions,0.0,bottom
324,arctic,27.0,top
325,arctic circle,16.0,top
326,arctic monkeys,8.0,center-bottom
327,arctic ocean,40.0,top
328,arctic tern,2.0,center-top
329,arecaceae,5.0,top
330,argan,0.0,bottom
331,argentina,30.0,top
332,argon,5.0,center
333,argyle diamond mine,1.0,center-bottom
334,ariel sharon,1.0,center-top
335,aristarchus (crater),1.0,bottom
336,aristotle,96.0,top
337,arithmetic,11.0,top
338,armadillo,4.0,center
339,"armand jean du plessis, cardinal richelieu",1.0,bottom
340,armenia,6.0,bottom
341,armia krajowa,2.0,center
342,arnold schwarzenegger,17.0,center-bottom
343,arp2 3 complex,0.0,bottom
344,ars moriendi,5.0,center-bottom
345,arsenal f.c.,5.0,center-top
346,arsenic,2.0,center
347,art,156.0,top
348,arthropod,16.0,center
349,arthur ernest percival,0.0,bottom
350,arthur sullivan,4.0,bottom
351,arthur upfield,0.0,bottom
352,"arthur wellesley, 1st duke of wellington",4.0,center
353,arts and crafts,4.0,bottom
354,aruba,2.0,top
355,arugula,2.0,center-top
356,ascariasis,1.0,center-top
357,asia,200.0,top
358,asp (reptile),0.0,bottom
359,asparagus,7.0,top
360,asperger syndrome,7.0,bottom
361,assyria,2.0,top
362,astatine,6.0,top
363,asteroid,521.0,center-top
364,asthma,9.0,center-top
365,astrology,16.0,bottom
366,astronomy,51.0,top
367,astrophysics data system,0.0,bottom
368,asunción,1.0,top
369,ateneo de manila university,0.0,center-top
370,athanasius kircher,1.0,bottom
371,atheism,14.0,center-bottom
372,athena,12.0,top
373,athens,57.0,top
374,athletics (track and field),16.0,bottom
375,"atlanta, georgia",5.0,center
376,atlantic coast line railroad,3.0,center-bottom
377,atlantic ocean,263.0,top
378,atlantic herring,0.0,bottom
379,atlantic slave trade,23.0,center
380,atlantis,9.0,top
381,atom,33.0,top
382,atonality,2.0,top
383,attack on pearl harbor,30.0,bottom
384,attalus i,4.0,top
385,attention-deficit hyperactivity disorder,1.0,top
386,attila the hun,6.0,center
387,auckland,2.0,center-top
388,"augusta, lady gregory",1.0,bottom
389,augustan literature,3.0,bottom
390,auguste rodin,2.0,bottom
391,augustine of hippo,13.0,center
392,augustus,8.0,top
393,australia,175.0,top
394,australian english,10.0,bottom
395,australian green tree frog,7.0,bottom
396,australian open,11.0,center
397,australian ringneck,0.0,bottom
398,australian constitutional law,0.0,bottom
399,australian rules football,6.0,center-bottom
400,austria,34.0,bottom
401,autism,4.0,top
402,auto racing,9.0,bottom
403,autobianchi primula,0.0,bottom
404,autocracy,8.0,top
405,automated teller machine,4.0,center-bottom
406,automatic number plate recognition,0.0,bottom
407,automobile,82.0,top
408,autorack,4.0,bottom
409,autostereogram,0.0,bottom
410,autumn,3.0,top
411,avacha volcano,3.0,top
412,avalanche,12.0,center-top
413,avatar  the last airbender,0.0,bottom
414,avocado,5.0,center-bottom
415,avon gorge,2.0,top
416,avro lancaster,2.0,top
417,axe,6.0,top
418,ayaan hirsi ali,1.0,center-bottom
419,aye-aye,0.0,bottom
420,"aymer de valence, 2nd earl of pembroke",1.0,bottom
421,azerbaijan,11.0,bottom
422,azerbaijani people,6.0,top
423,aztec,18.0,top
424,bae systems,2.0,top
425,basic,1.0,bottom
426,bbc,55.0,bottom
427,bbc television drama,3.0,bottom
428,bp,4.0,bottom
429,bt tower,3.0,center
430,b vitamins,10.0,bottom
431,babe ruth,8.0,top
432,baboon,6.0,center-top
433,babur,2.0,top
434,baby gender mentor,0.0,bottom
435,babylonia,11.0,top
436,backgammon,8.0,center-bottom
437,bacteria,53.0,top
438,baden-powell house,0.0,bottom
439,badger,4.0,top
440,badminton,9.0,bottom
441,badugi,0.0,bottom
442,baghdad,10.0,top
443,bahá'í faith,3.0,bottom
444,bahamas,0.0,top
445,bahrain,4.0,bottom
446,baker island,2.0,center-top
447,bald eagle,34.0,center-bottom
448,baltic sea,39.0,top
449,"baltimore, maryland",6.0,top
450,bamako,7.0,bottom
451,banana,13.0,center-bottom
452,bandicoot,6.0,center-top
453,bangalore,0.0,center-bottom
454,bangkok,9.0,center-top
455,bangladesh,7.0,bottom
456,banjul,1.0,top
457,bank of china (hong kong),0.0,bottom
458,banknote,13.0,center-bottom
459,banksy,2.0,center
460,bantu,4.0,top
461,barack obama,4.0,bottom
462,barbados,19.0,top
463,barbara mcclintock,1.0,bottom
464,barbary lion,2.0,bottom
465,barbary macaque,3.0,bottom
466,barcelona,10.0,center-bottom
467,barium,3.0,top
468,barley,28.0,center-bottom
469,barn owl,2.0,top
470,barnacle,6.0,bottom
471,baroque,7.0,top
472,barracuda,7.0,bottom
473,baruch spinoza,3.0,top
474,baseball,47.0,bottom
475,basel,2.0,top
476,basil,4.0,bottom
477,basil brush,0.0,bottom
478,basilica of san francesco d'assisi,1.0,bottom
479,basilica of santa maria degli angeli,3.0,bottom
480,basketball,28.0,bottom
481,basking shark,6.0,center
482,bass (fish),1.0,bottom
483,basset hound,0.0,bottom
484,bassoon,1.0,bottom
485,bat,21.0,top
486,bat-eared fox,1.0,bottom
487,"bath, somerset",1.0,bottom
488,bath school disaster,0.0,top
489,batholith,2.0,center
490,batman,183.0,bottom
491,battle of alesia,1.0,center-top
492,battle of amiens,0.0,center-bottom
493,battle of austerlitz,3.0,bottom
494,battle of badr,2.0,center-top
495,battle of bicocca,0.0,top
496,battle of britain,8.0,center-bottom
497,battle of cannae,5.0,center
498,battle of france,2.0,top
499,battle of gettysburg,9.0,top
500,battle of grunwald,3.0,top
501,battle of hastings,9.0,center-top
502,battle of jutland,1.0,center-top
503,battle of lechaeum,0.0,center
504,battle of leyte gulf,5.0,center-bottom
505,battle of marathon,4.0,top
506,battle of midway,12.0,center-bottom
507,battle of moscow,4.0,center
508,battle of normandy,7.0,bottom
509,battle of rennell island,0.0,bottom
510,battle of sitka,1.0,center-top
511,battle of smolensk (1943),2.0,bottom
512,battle of stalingrad,7.0,top
513,battle of tours,4.0,center-top
514,battle of vaslui,1.0,top
515,battle of warsaw (1920),2.0,bottom
516,battle of the bulge,9.0,center-bottom
517,battle of the eastern solomons,3.0,top
518,battle of the little bighorn,2.0,center-top
519,battle of the santa cruz islands,1.0,bottom
520,battle of the somme (1916),4.0,center
521,battles of the mexican-american war,0.0,bottom
522,bay area rapid transit,3.0,bottom
523,bay of bengal,7.0,top
524,beach,11.0,top
525,bean,9.0,top
526,bear,8.0,top
527,beatles for sale,1.0,center
528,beaver,14.0,top
529,bedbug,8.0,bottom
530,bede,8.0,top
531,bee,16.0,top
532,beeching axe,1.0,bottom
533,beekeeping,4.0,bottom
534,beep (swblw),0.0,bottom
535,beer,56.0,top
536,beet,4.0,center
537,beetle,11.0,top
538,behavioral finance,6.0,bottom
539,behistun inscription,1.0,center
540,beijing,18.0,top
541,beirut,2.0,top
542,belarus,11.0,bottom
543,belfast,5.0,top
544,belgium,31.0,top
545,belize,0.0,top
546,belton house,0.0,bottom
547,ben-hur (1959 film),0.0,bottom
548,ben jonson,1.0,center-top
549,ben nevis,1.0,top
550,bench language,0.0,bottom
551,benin,4.0,bottom
552,benito mussolini,10.0,center-top
553,benjamin britten,2.0,bottom
554,"benjamin disraeli, 1st earl of beaconsfield",4.0,bottom
555,benjamin franklin,18.0,center-top
556,benjamin harrison,1.0,bottom
557,benjamin mountfort,0.0,top
558,benjamin of tudela,0.0,bottom
559,benzene,4.0,center
560,berber languages,4.0,bottom
561,beriberi,2.0,center-bottom
562,berkelium,3.0,bottom
563,berlin,23.0,top
564,berlin wall,9.0,center-top
565,bermuda,20.0,center-top
566,bernard hinault,3.0,center-top
567,bertrand russell,4.0,center-top
568,beryllium,1.0,bottom
569,betelgeuse incident,0.0,bottom
570,bette davis,1.0,center-top
571,bhutan,5.0,bottom
572,bible,82.0,top
573,bicycle,12.0,top
574,bicycle thieves,2.0,bottom
575,big bang,33.0,top
576,bill clinton,21.0,bottom
577,bill gates,29.0,bottom
578,billie holiday,5.0,center-top
579,binary star,10.0,top
580,binoculars,7.0,top
581,binomial nomenclature,9.0,bottom
582,biodiesel,20.0,center-bottom
583,biodiversity,55.0,top
584,biofuel,13.0,center-bottom
585,bioinformatics,10.0,top
586,biology,195.0,top
587,bionicle  mask of light,0.0,bottom
588,biosphere,29.0,bottom
589,biotechnology,12.0,center-bottom
590,bird,196.0,top
591,bird migration,22.0,center-top
592,bird of prey,17.0,top
593,birmingham,6.0,top
594,birth control,14.0,center
595,bismuth,4.0,top
596,bison,4.0,center-top
597,bissau,2.0,top
598,björn borg,1.0,center-bottom
599,bjørnøya,1.0,bottom
600,black-backed jackal,1.0,bottom
601,black-footed cat,0.0,bottom
602,black-winged stilt,2.0,bottom
603,black death,28.0,center-top
604,black rhinoceros,4.0,top
605,black robin,0.0,bottom
606,black sea,27.0,top
607,black seminoles,0.0,bottom
608,black wildebeest,4.0,top
609,black hole,8.0,bottom
610,black panther,3.0,bottom
611,black pepper,10.0,top
612,black widow spider,0.0,bottom
613,blackbird,3.0,center-bottom
614,blackcap,2.0,bottom
615,blackjack,3.0,center
616,blackpool,1.0,center
617,blacktip reef shark,2.0,top
618,blade runner,7.0,center-bottom
619,blaise pascal,6.0,top
620,blitzkrieg,6.0,top
621,blokus,0.0,bottom
622,blood type,9.0,top
623,blue jay,3.0,top
624,blue peter,4.0,center-bottom
625,blue tit,0.0,bottom
626,blue whale,10.0,center-top
627,blue wildebeest,8.0,center
628,blue shark,3.0,center-top
629,bluegrass music,11.0,bottom
630,bluetooth,19.0,top
631,boa,4.0,center-top
632,board game,13.0,top
633,boat,22.0,top
634,bob dylan,15.0,center
635,bob marley,9.0,center
636,bobcat,7.0,top
637,body mass index,2.0,top
638,bodyline,3.0,top
639,boeing 747,16.0,center-bottom
640,bog,7.0,top
641,bogotá,1.0,center-bottom
642,bohemian rhapsody,2.0,bottom
643,bohor reedbuck,0.0,bottom
644,bohrium,2.0,center-bottom
645,bolivia,19.0,top
646,bologna,16.0,top
647,boltysh crater,3.0,bottom
648,bongo (antelope),2.0,bottom
649,bonobo,8.0,center-bottom
650,bontebok,1.0,bottom
651,booby,5.0,bottom
652,book,31.0,center-bottom
653,book of common prayer,2.0,top
654,book of kells,9.0,center-top
655,boolean logic,4.0,center
656,borage,1.0,bottom
657,boris becker,1.0,center
658,boron,5.0,top
659,bosnia and herzegovina,3.0,bottom
660,"boston, massachusetts",30.0,top
661,boston rfc,1.0,center-bottom
662,boston terrier,3.0,bottom
663,boston and lowell railroad,0.0,bottom
664,botany,24.0,top
665,botswana,7.0,bottom
666,bottlenose dolphin,5.0,center-bottom
667,boudica,0.0,center-top
668,boundary waters canoe area wilderness,1.0,bottom
669,bourbonnais train accident,0.0,bottom
670,bouvet island,1.0,top
671,box jellyfish,3.0,bottom
672,boy scout,4.0,center
673,boyle roche,0.0,bottom
674,brabantian,1.0,center-top
675,brabham,3.0,center-top
676,brachiosaurus,2.0,top
677,brahman,2.0,top
678,brain,687.0,top
679,bran,6.0,top
680,brandon routh,2.0,bottom
681,brasília,1.0,top
682,brass instrument,3.0,top
683,bratislava,1.0,top
684,brazil,153.0,top
685,bread,11.0,center-top
686,breaker morant,0.0,bottom
687,bretton woods system,0.0,center-bottom
688,brian close,0.0,bottom
689,bridge,18.0,top
690,brighton,6.0,top
691,brisbane,5.0,center
692,bristol,17.0,top
693,british east india company,37.0,top
694,british empire,190.0,top
695,british english,31.0,top
696,british house of commons,19.0,top
697,british indian ocean territory,2.0,center-bottom
698,british isles,66.0,top
699,british isles (terminology),4.0,top
700,british virgin islands,2.0,center
701,british monarchy,39.0,top
702,britney spears,5.0,bottom
703,broadcasting,36.0,top
704,bromine,2.0,top
705,bronze age,21.0,top
706,brothers grimm,15.0,center-top
707,brown trout,3.0,center-bottom
708,bruce lee,0.0,center
709,bruce springsteen,6.0,bottom
710,brunei,7.0,bottom
711,brush,7.0,center-top
712,brussels,7.0,top
713,brute force attack,6.0,center
714,bryce canyon national park,2.0,bottom
715,btrieve,0.0,bottom
716,bucharest,3.0,center
717,buckingham palace,11.0,center
718,buckminster fuller,0.0,center
719,budapest,4.0,top
720,buddha,9.0,bottom
721,buddhism,44.0,top
722,buddhist art,5.0,center
723,buenos aires,3.0,top
724,buffy the vampire slayer,7.0,top
725,bulgaria,9.0,bottom
726,bull shark,5.0,top
727,burkina faso,7.0,bottom
728,burundi,3.0,bottom
729,bushbuck,3.0,top
730,bushpig,0.0,bottom
731,business,57.0,top
732,butter,17.0,bottom
733,button,7.0,bottom
734,byzantine empire,55.0,top
735,c++,7.0,center
736,cædmon,2.0,center-top
737,côte d'ivoire,5.0,bottom
738,c. s. lewis,5.0,bottom
739,cf7,0.0,top
740,cpu cache,0.0,bottom
741,cs gas,6.0,bottom
742,cactus,3.0,center-top
743,cadmium,2.0,center-top
744,caesar cipher,1.0,top
745,caesium,5.0,top
746,caesium fluoride,4.0,bottom
747,cai lun,0.0,top
748,cairo,13.0,top
749,calcite,3.0,top
750,calcium,15.0,center-bottom
751,calcium chloride,5.0,center-bottom
752,calculus,38.0,top
753,calgary,4.0,center
754,california,210.0,top
755,california southern railroad,2.0,top
756,californium,7.0,top
757,calligraphy,4.0,center
758,caloris basin,3.0,center-top
759,calvin coolidge,5.0,top
760,calvin and hobbes,6.0,center-bottom
761,camarasaurus,4.0,top
762,cambodia,7.0,bottom
763,cambrian,11.0,top
764,cambrian explosion,17.0,top
765,cambridge,9.0,top
766,camel,13.0,top
767,cameroon,9.0,bottom
768,canada,191.0,top
769,canada goose,5.0,bottom
770,canadian charter of rights and freedoms,3.0,center-top
771,canadian english,5.0,top
772,canadian house of commons,8.0,top
773,canadian pacific railway,4.0,top
774,canadian senate,26.0,center-top
775,canadian football,3.0,top
776,canal,14.0,top
777,canaletto,3.0,bottom
778,canberra,7.0,top
779,cancer,41.0,center-bottom
780,cane toad,0.0,center
781,canola,5.0,bottom
782,canterbury,6.0,center-bottom
783,canterbury cathedral,11.0,top
784,canute the great,4.0,top
785,capacitance,8.0,center-top
786,cape canaveral,9.0,center-top
787,cape horn,8.0,center-top
788,cape lion,0.0,center
789,cape porcupine,0.0,bottom
790,cape town,12.0,bottom
791,cape verde,6.0,center-bottom
792,capital,65.0,top
793,capitalism,61.0,top
794,capitoline triad,5.0,top
795,captain marvel (dc comics),1.0,bottom
796,caracas,2.0,top
797,caratacus,4.0,top
798,caravaggio,1.0,center
799,carbon,38.0,top
800,carbon dioxide,62.0,center-top
801,carboniferous,10.0,top
802,carcinus maenas,3.0,center-bottom
803,card game,5.0,bottom
804,cardiff,4.0,top
805,caribbean sea,69.0,top
806,carl friedrich gauss,28.0,center-top
807,carl g. fisher,0.0,bottom
808,carl jung,5.0,bottom
809,carl lewis,4.0,center
810,carl sagan,9.0,bottom
811,carlsbad caverns national park,0.0,bottom
812,carnivore,44.0,center
813,caroline island,3.0,center-bottom
814,"carolingian gospel book (british library, ms add. 11848)",0.0,bottom
815,carolus linnaeus,39.0,top
816,carrot,10.0,top
817,casablanca (film),2.0,bottom
818,casimir effect,1.0,center-bottom
819,caspian sea,10.0,top
820,cassini-huygens,7.0,bottom
821,cassowary,3.0,center-top
822,castra,1.0,center-top
823,cat,94.0,top
824,cat's eye nebula,6.0,top
825,cat stevens,0.0,bottom
826,cataract,6.0,top
827,cataract surgery,1.0,bottom
828,cathedral of magdeburg,0.0,bottom
829,catherine cranston,0.0,bottom
830,catherine ii of russia,4.0,center-bottom
831,catholic social teaching,1.0,top
832,cattle,31.0,top
833,cave,10.0,bottom
834,cayman islands,3.0,center
835,celeriac,3.0,top
836,celery,7.0,top
837,celine dion,3.0,top
838,cell (biology),164.0,bottom
839,cello,7.0,bottom
840,celtic f.c.,1.0,center-bottom
841,celtic park,4.0,top
842,celtic mythology,9.0,bottom
843,central african republic,8.0,bottom
844,central processing unit,16.0,top
845,ceratopsidae,0.0,center-top
846,cereal,83.0,top
847,cerebellum,24.0,center
848,ceres (dwarf planet),8.0,bottom
849,cerium,1.0,top
850,chad,18.0,bottom
851,chadian-sudanese conflict,1.0,center-bottom
852,chaffinch,2.0,center-top
853,channel islands,15.0,top
854,charlemagne,15.0,top
855,charles babbage,9.0,top
856,charles darwin,69.0,top
857,charles dickens,19.0,center-top
858,charles etienne brasseur de bourbourg,1.0,center
859,charles ii of england,13.0,top
860,charles i of england,12.0,top
861,charles sumner,2.0,top
862,"charles v, holy roman emperor",7.0,top
863,charlie chaplin,20.0,center-top
864,charlotte's web,1.0,bottom
865,chartism,2.0,bottom
866,che guevara,3.0,center-top
867,cheers,3.0,center-bottom
868,cheese,24.0,center
869,cheetah,12.0,center-top
870,chelsea f.c.,4.0,bottom
871,chemical element,91.0,top
872,chemical synapse,5.0,bottom
873,chemistry,128.0,top
874,chennai,1.0,center
875,chepstow bridge,0.0,bottom
876,chernobyl disaster,4.0,center-top
877,chess,10.0,bottom
878,chester a. arthur,2.0,center
879,chestnut,6.0,center-top
880,chew magna,2.0,top
881,chew stoke,7.0,center-top
882,chew valley,1.0,top
883,chew valley lake,3.0,top
884,chicago,46.0,top
885,chicago bears,9.0,center
886,chicago and north western railway,10.0,top
887,chicken,19.0,center
888,child,17.0,center-bottom
889,children's crusade,6.0,center-top
890,children's rights movement,3.0,bottom
891,chile,20.0,top
892,chiltern hills,0.0,center-top
893,chimpanzee,21.0,center
894,china,202.0,top
895,chinese rites controversy,0.0,bottom
896,chinese language,26.0,center
897,chinyingi,2.0,top
898,chives,6.0,center-top
899,chlorine,15.0,top
900,chocolate,21.0,bottom
901,chola dynasty,2.0,center-top
902,cholera,11.0,bottom
903,chordate,67.0,center-top
904,chris evert,1.0,bottom
905,christian bale,3.0,center-bottom
906,christian monasticism,7.0,bottom
907,christianity,246.0,top
